size, modified, random
10, 0.14424002170562744, 0.09431099891662598
30, 0.05386495590209961, 0.0665520429611206
50, 0.10155999660491943, 0.03509199619293213
100, 0.18057703971862793, 0.0680840015411377
200, 0.21493995189666748, 0.1775120496749878
300, 0.3338240385055542, 0.29239797592163086
400, 1.304919958114624, 0.6322109699249268
700, 1.0538990497589111, 0.8300360441207886
1000, 2.066688060760498, 0.20339703559875488
5000, 1.5792100429534912, 1.1549550294876099
10000, 3.3558599948883057, 2.7083089351654053
15000, 4.7041099071502686, 4.36362898349762
20000, 6.868121981620789, 5.6883790493011475
25000, 8.605818033218384, 7.3960630893707275
30000, 10.934777975082397, 12.350411057472229
35000, 12.59050703048706, 11.345887064933777
40000, 20.19258403778076, 17.45615804195404
45000, 21.315518975257874, 15.076793909072876
50000, 18.040122985839844, 16.754001021385193
55000, 20.581884026527405, 18.20659303665161
60000, 22.158375024795532, 20.04525601863861
65000, 29.297183990478516, 27.215839982032776
70000, 26.470599055290222, 25.842270970344543
75000, 28.82355296611786, 25.904364943504333
80000, 33.15931701660156, 27.719671964645386
85000, 35.37779998779297, 28.024452090263367
90000, 42.98225700855255, 32.25033700466156
95000, 37.74315702915192, 34.214937925338745
100000, 41.127586007118225, 43.77791202068329
